id,video_id,title,artist_name,music_source,creator_comment,tags,creator_id,preview_time,duration,play_count,like_count,ranking_count,category,thumbnail_quality,created_at,updated_at
1,8iuYxdXFPbc,君が代," ",,,"[""J-POP"",""簡単""]",1,13.525,83,0,0,0,[],mqdefault,2025-10-12 07:41:06.167211,2025-10-12 07:41:06.167211
2,bmkY2yc1K7Q,テオ,Omoi feat. 初音ミク,,,"[""公式動画"",""ボーカロイド/ボカロ""]",1,22.67,210.081,0,0,0,[],maxresdefault,2025-10-12 07:52:59.711747,2025-10-12 07:52:59.711747
3,2-zPY0vrpjQ,天ノ弱,164 feat.GUMI,,,"[""公式動画"",""ボーカロイド/ボカロ""]",1,4.505,193,0,0,0,[],maxresdefault,2025-10-12 07:53:38.61214,2025-10-12 07:53:38.61214
4,5ZjFb89R4fA," I am eating hamburgers, and potato, everyday. "," ",けいおん,,"[""公式動画"",""アニメ""]",1,0.201,7.121,0,0,0,[],maxresdefault,2025-10-12 07:54:33.704014,2025-10-12 07:55:03.61
5,oidKy7khp8o,Calc.,初音ミク,,,"[""公式動画"",""ボーカロイド/ボカロ""]",1,22.174,236,0,0,0,[],mqdefault,2025-10-12 07:55:59.079332,2025-10-12 07:55:59.079332
6,_-ywSPWu3K8,You Suffer,Napalm Death,Scum,,"[""公式動画"",""洋楽""]",1,0.6,5,0,0,0,[],maxresdefault,2025-10-12 07:57:08.593413,2025-10-12 07:57:08.593413
7,o1jAMSQyVPc,メルト,初音ミク,,,"[""公式動画"",""ボーカロイド/ボカロ""]",1,24.431,257,0,0,0,[],mqdefault,2025-10-12 07:58:35.734727,2025-10-12 07:58:35.734727
8,su5oj4X9_AU,BOW AND ARROW,Kenshi Yonezu,,,"[""公式動画"",""アニメ""]",1,53.9,175.741,0,0,0,[],maxresdefault,2025-10-12 08:00:01.058082,2025-10-12 08:00:01.058082
9,VUIEJu4ZSUo,シャルル,バルーン,,,"[""公式動画"",""Cover/歌ってみた""]",1,53.744,228.401,0,0,0,[],maxresdefault,2025-10-12 08:02:38.391966,2025-10-12 08:03:44.005
10,PqJNc9KVIZE,Tell Your World,livetune feat. 初音ミク,Google Chrome,,"[""公式動画"",""ボーカロイド/ボカロ""]",1,63.87,272.441,0,0,0,[],maxresdefault,2025-10-12 08:05:14.645981,2025-10-12 08:05:14.645981
